id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano
1648689897,e4069daf-5f6a-356a-b4e0-8aa9b71030a3,-10.39416,-36.90061,2023-09-05 16:26:00,Brasil,SERGIPE,SÃO FRANCISCO,Mata Atlântica,2023
1657874619,86901b1f-8bf3-3068-a221-5eb84cbb0538,-11.11669,-37.36002,2023-10-24 16:09:00,Brasil,SERGIPE,ESTÂNCIA,Mata Atlântica,2023
1653149219,05265998-1371-39eb-a057-dcebe1acae28,-10.511,-36.82174,2023-09-26 16:20:00,Brasil,SERGIPE,JAPOATÃ,Mata Atlântica,2023
1653616275,0dffd269-2dad-3a15-8a7c-0ec53de1365b,-11.15492,-38.02345,2023-09-29 16:48:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1625192225,1f1628eb-f16e-3db7-bb76-5844cc4ea2d9,-10.54371,-36.86245,2023-03-30 16:28:00,Brasil,SERGIPE,JAPARATUBA,Mata Atlântica,2023
1625192240,193f1b79-858c-368e-b15f-5b9dbbf81368,-10.87658,-37.23887,2023-03-30 16:28:00,Brasil,SERGIPE,SÃO CRISTÓVÃO,Mata Atlântica,2023
1620416726,a4bdea61-9a1d-3d11-83f6-c4bc4061b900,-10.49944,-36.66183,2023-02-16 16:20:00,Brasil,SERGIPE,PACATUBA,Mata Atlântica,2023
1620416758,801e5d29-c54e-3c2d-bd74-7303c05c9c4f,-10.50077,-36.67094,2023-02-16 16:20:00,Brasil,SERGIPE,PACATUBA,Mata Atlântica,2023
1620416789,928d2c97-93f3-3a5f-9f0a-a482ac8a94d3,-10.94987,-37.9431,2023-02-16 16:20:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1620416820,4ded729e-65f7-3f64-a54d-20cbd62cdc23,-10.95117,-37.95233,2023-02-16 16:20:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1620416860,9da846ca-3e8d-3510-aed5-42a6b1a7ebcf,-10.26288,-37.44425,2023-02-16 16:20:00,Brasil,SERGIPE,NOSSA SENHORA DA GLÓRIA,Caatinga,2023
1620416861,6a85657b-df3f-34af-b946-1eb2fcbe318b,-11.04463,-37.82862,2023-02-16 16:20:00,Brasil,SERGIPE,RIACHÃO DO DANTAS,Caatinga,2023
1620416877,c00edc24-cbc1-38f5-b131-93e1fd55471f,-10.26418,-37.45331,2023-02-16 16:20:00,Brasil,SERGIPE,NOSSA SENHORA DA GLÓRIA,Caatinga,2023
1620416881,73ce771e-a19f-32c3-8acb-271f9b4ff777,-11.37843,-37.7832,2023-02-16 16:20:00,Brasil,SERGIPE,TOMAR DO GERU,Mata Atlântica,2023
